"response","predictor","Chisq","Df","p_value"
"observed_otus","status",5.9969,2,0.0499
"rd","status",9.0062,2,0.0111
"rd","observed_otus",3.5263,1,0.0604
"Metabolism","status",25.4982,2,0
"Metabolism","observed_otus",1.0847,1,0.2977
"belowgallic_uM","rd",0.0693,1,0.7923
"belowgallic_uM","observed_otus",0.3814,1,0.5368
"belowgallic_uM","Metabolism",1.1212,1,0.2897
"belowgallic_uM","status",2.995,2,0.2237
"belowC","rd",0.0122,1,0.9119
"belowC","observed_otus",5.0849,1,0.0241
"belowC","Metabolism",1.7884,1,0.1811
"belowC","status",13.5056,2,0.0012
"belowC","belowgallic_uM",8.394,1,0.0038
"belowC","belowbiomass_g",1.6024,1,0.2056
"belowC","abovebiomass_g",0.2436,1,0.6216
"belowN","rd",7e-04,1,0.9782
"belowN","observed_otus",2.0674,1,0.1505
"belowN","Metabolism",0.2382,1,0.6255
"belowN","status",2.1292,2,0.3449
"belowN","belowbiomass_g",1.2279,1,0.2678
"belowN","abovebiomass_g",0.8379,1,0.36
"belowbiomass_g","rd",0.8182,1,0.3657
"belowbiomass_g","belowgallic_uM",0.3317,1,0.5647
"belowbiomass_g","observed_otus",0.2426,1,0.6223
"belowbiomass_g","Metabolism",0.3617,1,0.5476
"belowbiomass_g","status",7.179,2,0.0276
"abovebiomass_g","rd",0.552,1,0.4575
"abovebiomass_g","belowgallic_uM",0.158,1,0.691
"abovebiomass_g","observed_otus",0.8664,1,0.352
"abovebiomass_g","Metabolism",1.0607,1,0.303
"abovebiomass_g","status",11.5158,2,0.0032
